image_name,reference_caption,true_object,classifier_pred,classifier_correct,top_low_label,top_mid_label,top_high_label,top_low_score,top_mid_score,top_high_score,semantic_levels,decoupled_semantics,retrieval_label_hit_any,candidate_labels,candidate_label_hit,main_label,decision_reason,decision_scores,main_label_correct,token_f1,generated_caption,prompt
n03452741_16744,The category is piano; it shows a man sits at a grand piano in a McDonald's restaurant.,piano,handbag,False,handbag,,handbag,0.28516125679016113,,0.3132753074169159,low|high,False,False,,,handbag,classifier_agrees_with_retrieval,,False,0.3888888888888889,The category is handbag; it shows a collage of three black bags with a pink and purple geometric design.,"Main semantic decision: handbag (classifier_agrees_with_retrieval).

Reliable semantic cues retrieved from EEG:
- high: handbag (0.31) - Scene and context for the handbag: a collage of three black bags with a pink and purple geometric design.
- high: handbag (0.29) - Scene and context for the handbag: a red cooler bag with the words ""Property of Scotia Bank"" printed on it.
- high: handbag (0.28) - Scene and context for the handbag: a burgundy Prada bag sits on a white surface.

Uncertain cues, do not rely on them unless necessary:
- none

Instruction:
Generate exactly one English sentence in this exact format:
The category is handbag; it shows <a concise visual description>.
Use the decided category exactly as written before the semicolon. After 'it shows', describe the main object, action or pose, visual attributes, and scene/context using only reliable cues. Do not mention scores, uncertainty, or retrieved cues. For low/high cues, use only their described attributes or scenes, not their source labels."
n04069434_10318,The category is camera; it shows a Canon camera sits on a white table with a black strap.,camera,camera,True,camera,,camera,0.3603938817977905,,0.33732926845550537,low|high,False,True,,,camera,classifier_agrees_with_retrieval,,True,0.6875000000000001,"The category is camera; it shows a black, wooden camera on a black surface.","Main semantic decision: camera (classifier_agrees_with_retrieval).

Reliable semantic cues retrieved from EEG:
- low: camera (0.36) - Visual attributes of the camera: dark, old, wooden.
- low: camera (0.36) - Visual attributes of the camera: black, wooden.
- low: camera (0.36) - Visual attributes of the camera: black, wooden.
- high: camera (0.34) - Scene and context for the camera: a collage of six different Sony digital cameras, each with a different color, shape, and texture.
- high: camera (0.34) - Scene and context for the camera: a black Sony camera sits on a black surface.
- high: camera (0.33) - Scene and context for the camera: an old movie camera with a black and silver body and a large lens.

Uncertain cues, do not rely on them unless necessary:
- none

Instruction:
Generate exactly one English sentence in this exact format:
The category is camera; it shows <a concise visual description>.
Use the decided category exactly as written before the semicolon. After 'it shows', describe the main object, action or pose, visual attributes, and scene/context using only reliable cues. Do not mention scores, uncertainty, or retrieved cues. For low/high cues, use only their described attributes or scenes, not their source labels."
n03452741_2982,"The category is piano; it shows the room features a high-gloss wood piano with a bench, surrounded by other pianos of various colors and sizes.",piano,piano,True,piano,,piano,0.38252556324005127,,0.37397077679634094,low|high,False,True,,,piano,classifier_agrees_with_retrieval,,True,0.5128205128205129,The category is piano; it shows a grand piano with black and white keys.,"Main semantic decision: piano (classifier_agrees_with_retrieval).

Reliable semantic cues retrieved from EEG:
- low: piano (0.38) - Visual attributes of the piano: black, red, white, shiny.
- low: piano (0.38) - Visual attributes of the piano: black, colorful.
- low: piano (0.37) - Visual attributes of the piano: black, white.
- high: piano (0.37) - Scene and context for the piano: a man in a black shirt stands in front of a grand piano.
- high: piano (0.37) - Scene and context for the piano: a grand piano's interior, showing strings and hammers in various shades of brown.
- high: piano (0.37) - Scene and context for the piano: a Yamaha piano with sheet music open to the first page.

Uncertain cues, do not rely on them unless necessary:
- none

Instruction:
Generate exactly one English sentence in this exact format:
The category is piano; it shows <a concise visual description>.
Use the decided category exactly as written before the semicolon. After 'it shows', describe the main object, action or pose, visual attributes, and scene/context using only reliable cues. Do not mention scores, uncertainty, or retrieved cues. For low/high cues, use only their described attributes or scenes, not their source labels."
n03180011_9576,The category is computer; it shows a silver and black computer tower sits on a black carpet.,computer,panda or pandas,False,panda or pandas,,panda or pandas,0.3588975667953491,,0.3492397964000702,low|high,False,False,,,panda or pandas,classifier_agrees_with_retrieval,,False,0.5,"The category is panda or pandas; it shows a black and white panda bear sitting on a rock, holding a piece of bamboo.","Main semantic decision: panda or pandas (classifier_agrees_with_retrieval).

Reliable semantic cues retrieved from EEG:
- low: panda or pandas (0.36) - Visual attributes of the panda or pandas: a panda bear sitting on a tree branch, eating bamboo.
- high: panda or pandas (0.35) - Scene and context for the panda or pandas: a panda bear sitting on a tree branch, eating bamboo.
- high: panda or pandas (0.33) - Scene and context for the panda or pandas: a panda bear sits on a rock, surrounded by bamboo and leaves.
- high: panda or pandas (0.33) - Scene and context for the panda or pandas: a black and white panda bear sits on a rock, holding a piece of bamboo.

Uncertain cues, do not rely on them unless necessary:
- none

Instruction:
Generate exactly one English sentence in this exact format:
The category is panda or pandas; it shows <a concise visual description>.
Use the decided category exactly as written before the semicolon. After 'it shows', describe the main object, action or pose, visual attributes, and scene/context using only reliable cues. Do not mention scores, uncertainty, or retrieved cues. For low/high cues, use only their described attributes or scenes, not their source labels."
n03773504_6291,"The category is rocket; it shows a large missile is shown in a warehouse-like setting, with yellow and green coloring and a black tip.",rocket,bicycle,False,bicycle,,bicycle,0.38031134009361267,,0.3653077483177185,low|high,False,False,,,bicycle,classifier_agrees_with_retrieval,,False,0.35555555555555557,"The category is bicycle; it shows a red bicycle parked on a sidewalk near a crosswalk, next to a tall building.","Main semantic decision: bicycle (classifier_agrees_with_retrieval).

Reliable semantic cues retrieved from EEG:
- low: bicycle (0.38) - Visual attributes of the bicycle: black, red.
- low: bicycle (0.38) - Visual attributes of the bicycle: black, red.
- low: bicycle (0.37) - Visual attributes of the bicycle: red.
- high: bicycle (0.37) - Scene and context for the bicycle: a red bicycle is parked on a sidewalk near a crosswalk, next to a tall building.
- high: bicycle (0.34) - Scene and context for the bicycle: a man and woman riding bikes on a dirt trail in the desert.
- high: bicycle (0.32) - Scene and context for the bicycle: a man rides a bike down a dirt trail.

Uncertain cues, do not rely on them unless necessary:
- none

Instruction:
Generate exactly one English sentence in this exact format:
The category is bicycle; it shows <a concise visual description>.
Use the decided category exactly as written before the semicolon. After 'it shows', describe the main object, action or pose, visual attributes, and scene/context using only reliable cues. Do not mention scores, uncertainty, or retrieved cues. For low/high cues, use only their described attributes or scenes, not their source labels."
n03272562_4339,The category is train; it shows a train moves along the tracks in a city.,train,guitar,False,guitar,,guitar,0.337481826543808,,0.37515249848365784,low|high,False,False,,,guitar,classifier_agrees_with_retrieval,,False,0.3888888888888889,"The category is guitar; it shows an electric guitar displayed on a stand, with a brown wooden body and white fretboard.","Main semantic decision: guitar (classifier_agrees_with_retrieval).

Reliable semantic cues retrieved from EEG:
- high: guitar (0.38) - Scene and context for the guitar: an electric guitar is displayed on a stand, with a brown wooden body and white fretboard.
- high: guitar (0.37) - Scene and context for the guitar: a close-up of a red and white electric guitar, with its neck and fretboard in focus.
- high: guitar (0.36) - Scene and context for the guitar: a close-up of a guitar neck with six strings, a wooden body, and metallic frets.

Uncertain cues, do not rely on them unless necessary:
- none

Instruction:
Generate exactly one English sentence in this exact format:
The category is guitar; it shows <a concise visual description>.
Use the decided category exactly as written before the semicolon. After 'it shows', describe the main object, action or pose, visual attributes, and scene/context using only reliable cues. Do not mention scores, uncertainty, or retrieved cues. For low/high cues, use only their described attributes or scenes, not their source labels."
n03452741_3088,"The category is piano; it shows a grand piano sits in a dark room, its black surface reflecting light.",piano,ball,False,ball,,ball,0.33046388626098633,,0.29872363805770874,low|high,False,False,,,ball,classifier_agrees_with_retrieval,,False,0.3684210526315789,The category is ball; it shows a white golf ball with MGC on it sitting on a red surface.,"Main semantic decision: ball (classifier_agrees_with_retrieval).

Reliable semantic cues retrieved from EEG:
- high: ball (0.30) - Scene and context for the ball: a white golf ball with MGC on it sits on a red surface.
- high: ball (0.28) - Scene and context for the ball: a golf ball with a red lobster painted on it, sitting on a tan surface.
- high: ball (0.28) - Scene and context for the ball: background.

Uncertain cues, do not rely on them unless necessary:
- none

Instruction:
Generate exactly one English sentence in this exact format:
The category is ball; it shows <a concise visual description>.
Use the decided category exactly as written before the semicolon. After 'it shows', describe the main object, action or pose, visual attributes, and scene/context using only reliable cues. Do not mention scores, uncertainty, or retrieved cues. For low/high cues, use only their described attributes or scenes, not their source labels."
n03297495_7249,"The category is coffee maker; it shows the La Marzocco Linea espresso machine is shown in a white and silver color scheme, with a clear, see-through body and silver buttons.",coffee maker,flower,False,flower,,flower,0.32715749740600586,,0.3448512852191925,low|high,False,False,,,flower,classifier_agrees_with_retrieval,,False,0.326530612244898,"The category is flower; it shows a group of four white flowers with yellow centers, surrounded by green leaves.","Main semantic decision: flower (classifier_agrees_with_retrieval).

Reliable semantic cues retrieved from EEG:
- high: flower (0.34) - Scene and context for the flower: a group of four white flowers with yellow centers, surrounded by green leaves.
- high: flower (0.33) - Scene and context for the flower: a white daisy with purple center sits in front of a green bush.
- high: flower (0.33) - Scene and context for the flower: a group of white daisies with yellow centers are shown.

Uncertain cues, do not rely on them unless necessary:
- none

Instruction:
Generate exactly one English sentence in this exact format:
The category is flower; it shows <a concise visual description>.
Use the decided category exactly as written before the semicolon. After 'it shows', describe the main object, action or pose, visual attributes, and scene/context using only reliable cues. Do not mention scores, uncertainty, or retrieved cues. For low/high cues, use only their described attributes or scenes, not their source labels."
n03376595_108,The category is chair; it shows the wooden folding chair is empty and ready for use.,chair,pool table,False,pool table,,pool table,0.4249475598335266,,0.3806065022945404,low|high,False,False,,,pool table,classifier_agrees_with_retrieval,,False,0.326530612244898,"The category is pool table; it shows a man leaning over a gray, green, wooden table, with a group of people playing in a room with wood paneling and pictures on the wall.","Main semantic decision: pool table (classifier_agrees_with_retrieval).

Reliable semantic cues retrieved from EEG:
- low: pool table (0.42) - Visual attributes of the pool table: a man leans over a pool table, his arm resting on the rail.
- low: pool table (0.41) - Visual attributes of the pool table: gray, green, wooden.
- low: pool table (0.41) - Visual attributes of the pool table: a group of people playing pool in a room with wood paneling and pictures on the wall.
- high: pool table (0.38) - Scene and context for the pool table: floor, table.
- high: pool table (0.38) - Scene and context for the pool table: table.
- high: pool table (0.38) - Scene and context for the pool table: table.

Uncertain cues, do not rely on them unless necessary:
- none

Instruction:
Generate exactly one English sentence in this exact format:
The category is pool table; it shows <a concise visual description>.
Use the decided category exactly as written before the semicolon. After 'it shows', describe the main object, action or pose, visual attributes, and scene/context using only reliable cues. Do not mention scores, uncertainty, or retrieved cues. For low/high cues, use only their described attributes or scenes, not their source labels."
n02992529_13746,The category is cell phone; it shows a man wearing glasses and a black shirt is talking on a cell phone.,cell phone,computer,False,computer,,camp or camping,0.35750633478164673,,0.27607595920562744,low|high,False,False,,,computer,classifier_agrees_with_retrieval,,False,0.42857142857142855,The category is computer; it shows a Vaio laptop displaying a green square and a computer monitor showing a fantasy game.,"Main semantic decision: computer (classifier_agrees_with_retrieval).

Reliable semantic cues retrieved from EEG:
- low: computer (0.36) - Visual attributes of the computer: a laptop computer and a computer monitor sit side by side on a desk.
- high: computer (0.19) - Scene and context for the computer: a Vaio laptop displays a green square on the screen.
- high: computer (0.19) - Scene and context for the computer: a computer monitor displays a fantasy game on its screen.
- high: computer (0.17) - Scene and context for the computer: a Dell desktop computer with a monitor, keyboard, and mouse sits on a white surface.

Uncertain cues, do not rely on them unless necessary:
- none

Instruction:
Generate exactly one English sentence in this exact format:
The category is computer; it shows <a concise visual description>.
Use the decided category exactly as written before the semicolon. After 'it shows', describe the main object, action or pose, visual attributes, and scene/context using only reliable cues. Do not mention scores, uncertainty, or retrieved cues. For low/high cues, use only their described attributes or scenes, not their source labels."
