image_name,reference_caption,true_object,classifier_pred,classifier_correct,top_low_label,top_mid_label,top_high_label,top_low_score,top_mid_score,top_high_score,semantic_levels,decoupled_semantics,retrieval_label_hit_any,candidate_labels,candidate_label_hit,main_label,decision_reason,decision_scores,main_label_correct,token_f1,generated_caption,prompt,reference_caption_scored,generated_caption_scored,token_f1_scored,bleu1,bleu2,bleu3,bleu4,rouge_l,meteor,cider,object_accuracy,cue_coverage,evidence_faithfulness,clip_text_similarity,image_text_clipscore,image_found
n03452741_16744,The category is piano; it shows a man sits at a grand piano in a McDonald's restaurant.,piano,handbag,False,handbag,,handbag,0.2851612567901611,,0.3132753074169159,low|high,False,False,,,handbag,classifier_agrees_with_retrieval,,False,0.3888888888888889,The category is handbag; it shows a collage of three black bags with a pink and purple geometric design.,"Main semantic decision: handbag (classifier_agrees_with_retrieval).

Reliable semantic cues retrieved from EEG:
- high: handbag (0.31) - Scene and context for the handbag: a collage of three black bags with a pink and purple geometric design.
- high: handbag (0.29) - Scene and context for the handbag: a red cooler bag with the words ""Property of Scotia Bank"" printed on it.
- high: handbag (0.28) - Scene and context for the handbag: a burgundy Prada bag sits on a white surface.

Uncertain cues, do not rely on them unless necessary:
- none

Instruction:
Generate exactly one English sentence in this exact format:
The category is handbag; it shows <a concise visual description>.
Use the decided category exactly as written before the semicolon. After 'it shows', describe the main object, action or pose, visual attributes, and scene/context using only reliable cues. Do not mention scores, uncertainty, or retrieved cues. For low/high cues, use only their described attributes or scenes, not their source labels.",A man sits at a grand piano in a McDonald's restaurant.,A collage of three black bags with a pink and purple geometric design.,0.16,0.21428571428571425,0.12838814775327384,0.11116196288530926,0.10571070857151538,0.16116248348745044,0.08264462809917354,0.0003658405305616896,0.0,0.3333333333333333,1.0,0.25043851137161255,0.16118267178535461,True
n04069434_10318,The category is camera; it shows a Canon camera sits on a white table with a black strap.,camera,camera,True,camera,,camera,0.3603938817977905,,0.3373292684555053,low|high,False,True,,,camera,classifier_agrees_with_retrieval,,True,0.6875000000000001,"The category is camera; it shows a black, wooden camera on a black surface.","Main semantic decision: camera (classifier_agrees_with_retrieval).

Reliable semantic cues retrieved from EEG:
- low: camera (0.36) - Visual attributes of the camera: dark, old, wooden.
- low: camera (0.36) - Visual attributes of the camera: black, wooden.
- low: camera (0.36) - Visual attributes of the camera: black, wooden.
- high: camera (0.34) - Scene and context for the camera: a collage of six different Sony digital cameras, each with a different color, shape, and texture.
- high: camera (0.34) - Scene and context for the camera: a black Sony camera sits on a black surface.
- high: camera (0.33) - Scene and context for the camera: an old movie camera with a black and silver body and a large lens.

Uncertain cues, do not rely on them unless necessary:
- none

Instruction:
Generate exactly one English sentence in this exact format:
The category is camera; it shows <a concise visual description>.
Use the decided category exactly as written before the semicolon. After 'it shows', describe the main object, action or pose, visual attributes, and scene/context using only reliable cues. Do not mention scores, uncertainty, or retrieved cues. For low/high cues, use only their described attributes or scenes, not their source labels.",A Canon camera sits on a white table with a black strap.,"A black, wooden camera on a black surface.",0.5,0.4043537731417556,0.3032653298563167,0.19974078327037692,0.16847111051295394,0.4825949367088607,0.3206896551724138,0.9499985360127396,1.0,0.15384615384615385,1.0,0.7705759406089783,0.30238404870033264,True
n03452741_2982,"The category is piano; it shows the room features a high-gloss wood piano with a bench, surrounded by other pianos of various colors and sizes.",piano,piano,True,piano,,piano,0.3825255632400512,,0.3739707767963409,low|high,False,True,,,piano,classifier_agrees_with_retrieval,,True,0.5128205128205129,The category is piano; it shows a grand piano with black and white keys.,"Main semantic decision: piano (classifier_agrees_with_retrieval).

Reliable semantic cues retrieved from EEG:
- low: piano (0.38) - Visual attributes of the piano: black, red, white, shiny.
- low: piano (0.38) - Visual attributes of the piano: black, colorful.
- low: piano (0.37) - Visual attributes of the piano: black, white.
- high: piano (0.37) - Scene and context for the piano: a man in a black shirt stands in front of a grand piano.
- high: piano (0.37) - Scene and context for the piano: a grand piano's interior, showing strings and hammers in various shades of brown.
- high: piano (0.37) - Scene and context for the piano: a Yamaha piano with sheet music open to the first page.

Uncertain cues, do not rely on them unless necessary:
- none

Instruction:
Generate exactly one English sentence in this exact format:
The category is piano; it shows <a concise visual description>.
Use the decided category exactly as written before the semicolon. After 'it shows', describe the main object, action or pose, visual attributes, and scene/context using only reliable cues. Do not mention scores, uncertainty, or retrieved cues. For low/high cues, use only their described attributes or scenes, not their source labels.","The room features a high-gloss wood piano with a bench, surrounded by other pianos of various colors and sizes.",A grand piano with black and white keys.,0.28571428571428575,0.12396120008246102,0.08315570098705062,0.06040618823752586,0.05350727456873354,0.26521739130434785,0.16788563829787234,0.47021663806931374,1.0,0.14285714285714285,0.8,0.7161431908607483,0.30667632818222046,True
n03180011_9576,The category is computer; it shows a silver and black computer tower sits on a black carpet.,computer,panda or pandas,False,panda or pandas,,panda or pandas,0.3588975667953491,,0.3492397964000702,low|high,False,False,,,panda or pandas,classifier_agrees_with_retrieval,,False,0.5,"The category is panda or pandas; it shows a black and white panda bear sitting on a rock, holding a piece of bamboo.","Main semantic decision: panda or pandas (classifier_agrees_with_retrieval).

Reliable semantic cues retrieved from EEG:
- low: panda or pandas (0.36) - Visual attributes of the panda or pandas: a panda bear sitting on a tree branch, eating bamboo.
- high: panda or pandas (0.35) - Scene and context for the panda or pandas: a panda bear sitting on a tree branch, eating bamboo.
- high: panda or pandas (0.33) - Scene and context for the panda or pandas: a panda bear sits on a rock, surrounded by bamboo and leaves.
- high: panda or pandas (0.33) - Scene and context for the panda or pandas: a black and white panda bear sits on a rock, holding a piece of bamboo.

Uncertain cues, do not rely on them unless necessary:
- none

Instruction:
Generate exactly one English sentence in this exact format:
The category is panda or pandas; it shows <a concise visual description>.
Use the decided category exactly as written before the semicolon. After 'it shows', describe the main object, action or pose, visual attributes, and scene/context using only reliable cues. Do not mention scores, uncertainty, or retrieved cues. For low/high cues, use only their described attributes or scenes, not their source labels.",A silver and black computer tower sits on a black carpet.,"A black and white panda bear sitting on a rock, holding a piece of bamboo.",0.3846153846153846,0.375,0.27386127875258304,0.17497570119380038,0.14247788801610148,0.3164721141374838,0.32631578947368417,0.18922140679904914,0.0,0.45,1.0,0.3509579002857208,0.12770135700702667,True
n03773504_6291,"The category is rocket; it shows a large missile is shown in a warehouse-like setting, with yellow and green coloring and a black tip.",rocket,bicycle,False,bicycle,,bicycle,0.3803113400936126,,0.3653077483177185,low|high,False,False,,,bicycle,classifier_agrees_with_retrieval,,False,0.3555555555555555,"The category is bicycle; it shows a red bicycle parked on a sidewalk near a crosswalk, next to a tall building.","Main semantic decision: bicycle (classifier_agrees_with_retrieval).

Reliable semantic cues retrieved from EEG:
- low: bicycle (0.38) - Visual attributes of the bicycle: black, red.
- low: bicycle (0.38) - Visual attributes of the bicycle: black, red.
- low: bicycle (0.37) - Visual attributes of the bicycle: red.
- high: bicycle (0.37) - Scene and context for the bicycle: a red bicycle is parked on a sidewalk near a crosswalk, next to a tall building.
- high: bicycle (0.34) - Scene and context for the bicycle: a man and woman riding bikes on a dirt trail in the desert.
- high: bicycle (0.32) - Scene and context for the bicycle: a man rides a bike down a dirt trail.

Uncertain cues, do not rely on them unless necessary:
- none

Instruction:
Generate exactly one English sentence in this exact format:
The category is bicycle; it shows <a concise visual description>.
Use the decided category exactly as written before the semicolon. After 'it shows', describe the main object, action or pose, visual attributes, and scene/context using only reliable cues. Do not mention scores, uncertainty, or retrieved cues. For low/high cues, use only their described attributes or scenes, not their source labels.","A large missile is shown in a warehouse-like setting, with yellow and green coloring and a black tip.","A red bicycle parked on a sidewalk near a crosswalk, next to a tall building.",0.17647058823529413,0.19148208459116217,0.09888092329582013,0.08117613621827785,0.07492598802660679,0.17280453257790368,0.08064516129032258,0.0004542575502983797,0.0,0.375,1.0,0.320997953414917,0.08102726191282272,True
n03272562_4339,The category is train; it shows a train moves along the tracks in a city.,train,guitar,False,guitar,,guitar,0.337481826543808,,0.3751524984836578,low|high,False,False,,,guitar,classifier_agrees_with_retrieval,,False,0.3888888888888889,"The category is guitar; it shows an electric guitar displayed on a stand, with a brown wooden body and white fretboard.","Main semantic decision: guitar (classifier_agrees_with_retrieval).

Reliable semantic cues retrieved from EEG:
- high: guitar (0.38) - Scene and context for the guitar: an electric guitar is displayed on a stand, with a brown wooden body and white fretboard.
- high: guitar (0.37) - Scene and context for the guitar: a close-up of a red and white electric guitar, with its neck and fretboard in focus.
- high: guitar (0.36) - Scene and context for the guitar: a close-up of a guitar neck with six strings, a wooden body, and metallic frets.

Uncertain cues, do not rely on them unless necessary:
- none

Instruction:
Generate exactly one English sentence in this exact format:
The category is guitar; it shows <a concise visual description>.
Use the decided category exactly as written before the semicolon. After 'it shows', describe the main object, action or pose, visual attributes, and scene/context using only reliable cues. Do not mention scores, uncertainty, or retrieved cues. For low/high cues, use only their described attributes or scenes, not their source labels.",A train moves along the tracks in a city.,"An electric guitar displayed on a stand, with a brown wooden body and white fretboard.",0.16666666666666669,0.1875,0.11180339887498951,0.09629283927770896,0.09103526405546068,0.17453505007153075,0.10416666666666667,0.00025916255285037297,0.0,0.47368421052631576,1.0,0.455190509557724,0.1676291525363922,True
n03452741_3088,"The category is piano; it shows a grand piano sits in a dark room, its black surface reflecting light.",piano,ball,False,ball,,ball,0.3304638862609863,,0.2987236380577087,low|high,False,False,,,ball,classifier_agrees_with_retrieval,,False,0.3684210526315789,The category is ball; it shows a white golf ball with MGC on it sitting on a red surface.,"Main semantic decision: ball (classifier_agrees_with_retrieval).

Reliable semantic cues retrieved from EEG:
- high: ball (0.30) - Scene and context for the ball: a white golf ball with MGC on it sits on a red surface.
- high: ball (0.28) - Scene and context for the ball: a golf ball with a red lobster painted on it, sitting on a tan surface.
- high: ball (0.28) - Scene and context for the ball: background.

Uncertain cues, do not rely on them unless necessary:
- none

Instruction:
Generate exactly one English sentence in this exact format:
The category is ball; it shows <a concise visual description>.
Use the decided category exactly as written before the semicolon. After 'it shows', describe the main object, action or pose, visual attributes, and scene/context using only reliable cues. Do not mention scores, uncertainty, or retrieved cues. For low/high cues, use only their described attributes or scenes, not their source labels.","A grand piano sits in a dark room, its black surface reflecting light.",A white golf ball with MGC on it sitting on a red surface.,0.23076923076923078,0.2857142857142857,0.14824986333222023,0.12234957143053862,0.1135935489027116,0.23076923076923084,0.11538461538461539,0.18376873941753957,0.0,0.5,1.0,0.3387377858161926,0.13560956716537476,True
n03297495_7249,"The category is coffee maker; it shows the La Marzocco Linea espresso machine is shown in a white and silver color scheme, with a clear, see-through body and silver buttons.",coffee maker,flower,False,flower,,flower,0.3271574974060058,,0.3448512852191925,low|high,False,False,,,flower,classifier_agrees_with_retrieval,,False,0.326530612244898,"The category is flower; it shows a group of four white flowers with yellow centers, surrounded by green leaves.","Main semantic decision: flower (classifier_agrees_with_retrieval).

Reliable semantic cues retrieved from EEG:
- high: flower (0.34) - Scene and context for the flower: a group of four white flowers with yellow centers, surrounded by green leaves.
- high: flower (0.33) - Scene and context for the flower: a white daisy with purple center sits in front of a green bush.
- high: flower (0.33) - Scene and context for the flower: a group of white daisies with yellow centers are shown.

Uncertain cues, do not rely on them unless necessary:
- none

Instruction:
Generate exactly one English sentence in this exact format:
The category is flower; it shows <a concise visual description>.
Use the decided category exactly as written before the semicolon. After 'it shows', describe the main object, action or pose, visual attributes, and scene/context using only reliable cues. Do not mention scores, uncertainty, or retrieved cues. For low/high cues, use only their described attributes or scenes, not their source labels.","The La Marzocco Linea espresso machine is shown in a white and silver color scheme, with a clear, see-through body and silver buttons.","A group of four white flowers with yellow centers, surrounded by green leaves.",0.16216216216216217,0.12258914312660246,0.0636083830008648,0.0524955519325187,0.0487386753864263,0.15391084945332215,0.11159631246967491,0.023107324056212967,0.0,0.45,1.0,0.20349180698394775,0.04302360862493515,True
n03376595_108,The category is chair; it shows the wooden folding chair is empty and ready for use.,chair,pool table,False,pool table,,pool table,0.4249475598335266,,0.3806065022945404,low|high,False,False,,,pool table,classifier_agrees_with_retrieval,,False,0.326530612244898,"The category is pool table; it shows a man leaning over a gray, green, wooden table, with a group of people playing in a room with wood paneling and pictures on the wall.","Main semantic decision: pool table (classifier_agrees_with_retrieval).

Reliable semantic cues retrieved from EEG:
- low: pool table (0.42) - Visual attributes of the pool table: a man leans over a pool table, his arm resting on the rail.
- low: pool table (0.41) - Visual attributes of the pool table: gray, green, wooden.
- low: pool table (0.41) - Visual attributes of the pool table: a group of people playing pool in a room with wood paneling and pictures on the wall.
- high: pool table (0.38) - Scene and context for the pool table: floor, table.
- high: pool table (0.38) - Scene and context for the pool table: table.
- high: pool table (0.38) - Scene and context for the pool table: table.

Uncertain cues, do not rely on them unless necessary:
- none

Instruction:
Generate exactly one English sentence in this exact format:
The category is pool table; it shows <a concise visual description>.
Use the decided category exactly as written before the semicolon. After 'it shows', describe the main object, action or pose, visual attributes, and scene/context using only reliable cues. Do not mention scores, uncertainty, or retrieved cues. For low/high cues, use only their described attributes or scenes, not their source labels.",The wooden folding chair is empty and ready for use.,"A man leaning over a gray, green, wooden table, with a group of people playing in a room with wood paneling and pictures on the wall.",0.16666666666666669,0.14814814814814814,0.0754851356096397,0.06108402180494526,0.05551277111446364,0.12079207920792079,0.12931034482758622,0.0943421565065356,0.0,0.56,0.9333333333333333,0.3629051446914673,0.1554163545370102,True
n02992529_13746,The category is cell phone; it shows a man wearing glasses and a black shirt is talking on a cell phone.,cell phone,computer,False,computer,,camp or camping,0.3575063347816467,,0.2760759592056274,low|high,False,False,,,computer,classifier_agrees_with_retrieval,,False,0.4285714285714285,The category is computer; it shows a Vaio laptop displaying a green square and a computer monitor showing a fantasy game.,"Main semantic decision: computer (classifier_agrees_with_retrieval).

Reliable semantic cues retrieved from EEG:
- low: computer (0.36) - Visual attributes of the computer: a laptop computer and a computer monitor sit side by side on a desk.
- high: computer (0.19) - Scene and context for the computer: a Vaio laptop displays a green square on the screen.
- high: computer (0.19) - Scene and context for the computer: a computer monitor displays a fantasy game on its screen.
- high: computer (0.17) - Scene and context for the computer: a Dell desktop computer with a monitor, keyboard, and mouse sits on a white surface.

Uncertain cues, do not rely on them unless necessary:
- none

Instruction:
Generate exactly one English sentence in this exact format:
The category is computer; it shows <a concise visual description>.
Use the decided category exactly as written before the semicolon. After 'it shows', describe the main object, action or pose, visual attributes, and scene/context using only reliable cues. Do not mention scores, uncertainty, or retrieved cues. For low/high cues, use only their described attributes or scenes, not their source labels.",A man wearing glasses and a black shirt is talking on a cell phone.,A Vaio laptop displaying a green square and a computer monitor showing a fantasy game.,0.2758620689655172,0.3125,0.20412414523193154,0.143842395666197,0.12300686288463772,0.27758816837315126,0.14184397163120568,0.04611907161109134,0.0,0.3333333333333333,0.8,0.40780511498451233,0.19613796472549438,True
